n,eta,r_c,boundary,n_max
1.609674728940784,0.5,,0.5,0
1.6180150125104253,0.5,,0.5,0
1.6263552960800667,0.5,,0.5,0
1.634695579649708,0.5,,0.5,0
1.6430358632193494,0.5,,0.5,0
1.6513761467889907,0.5,,0.5,0
1.659716430358632,0.5,,0.5,0
1.6680567139282736,0.5,,0.5,0
1.676396997497915,0.5,,0.5,0
1.6847372810675563,0.5,,0.5,0
1.6930775646371976,0.5,,0.5,0
1.701417848206839,0.5,,0.5,0
1.7097581317764803,0.5,,0.5,0
1.7180984153461216,0.5,,0.5,0
1.726438698915763,0.5,,0.5,0
1.7347789824854045,0.5,,0.5,0
1.7431192660550459,0.5,,0.5,0
1.7514595496246872,0.5,,0.5,0
1.7597998331943285,0.5,,0.5,0
1.7681401167639699,0.5,,0.5,0
1.7764804003336112,0.5,,0.5,0
1.7848206839032525,0.5,,0.5,0
1.793160967472894,0.5,,0.5,0
1.8015012510425354,0.5,,0.5,0
1.8098415346121768,0.5,,0.5,0
1.8181818181818181,0.5,,0.5,0
1.8265221017514595,0.5,,0.5,0
1.8348623853211008,0.5,,0.5,0
1.8432026688907421,0.5,,0.5,0
1.8515429524603835,0.5,,0.5,0
1.859883236030025,0.5,,0.5,0
1.8682235195996664,0.5,,0.5,0
1.8765638031693077,0.5,,0.5,0
1.884904086738949,0.5,,0.5,0
1.8932443703085904,0.5,,0.5,0
1.9015846538782317,0.5,,0.5,0
1.909924937447873,0.5,,0.5,0
1.9182652210175146,0.5,,0.5,0
1.926605504587156,0.5,,0.5,0
1.9349457881567973,0.5,,0.5,0
1.9432860717264386,0.5,,0.5,0
1.95162635529608,0.5,,0.5,0
1.9599666388657213,0.5,,0.5,0
1.9683069224353626,0.5,,0.5,0
1.976647206005004,0.5,,0.5,0
1.9849874895746455,0.5,,0.5,0
1.9933277731442869,0.5,,0.5,0
2.0016680567139282,0.5,,0.5,0
2.01000834028357,0.5,,0.5,0
2.018348623853211,0.5,,0.5,0
2.0266889074228525,0.5,,0.5,0
2.0350291909924936,0.5,,0.5,0
2.043369474562135,0.5,,0.5,0
2.0517097581317763,0.5,,0.5,0
2.060050041701418,0.5,,0.5,0
2.068390325271059,0.5,,0.5,0
2.0767306088407005,0.5,,0.5,0
2.085070892410342,0.5,,0.5,0
2.093411175979983,0.5,,0.5,0
2.1017514595496247,0.5,,0.5,0
2.110091743119266,0.5,,0.5,0
2.1184320266889074,0.5,,0.5,0
2.1267723102585485,0.5,,0.5,0
2.13511259382819,0.5,,0.5,0
2.1434528773978316,0.5,,0.5,0
2.1517931609674728,0.5,,0.5,0
2.1601334445371143,0.5,,0.5,0
2.1684737281067554,0.5,,0.5,0
2.176814011676397,0.5,,0.5,0
2.185154295246038,0.5,,0.5,0
2.1934945788156797,0.5,,0.5,0
2.2018348623853212,0.5,,0.5,0
2.2101751459549623,0.5,,0.5,0
2.218515429524604,0.5,,0.5,0
2.226855713094245,0.5,,0.5,0
2.2351959966638866,0.5,,0.5,0
2.2435362802335277,0.5,,0.5,0
2.2518765638031693,0.5,,0.5,0
2.2602168473728104,0.5,,0.5,0
2.268557130942452,0.5,,0.5,0
2.2768974145120935,0.5,,0.5,0
2.2852376980817346,0.5,,0.5,0
2.293577981651376,0.5,,0.5,0
2.3019182652210173,0.5,,0.5,0
2.310258548790659,0.5,,0.5,0
2.3185988323603,0.5,,0.5,0
2.3269391159299415,0.5,,0.5,0
2.335279399499583,0.5,,0.5,0
2.343619683069224,0.5,,0.5,0
2.3519599666388658,0.5,,0.5,0
2.360300250208507,0.5,,0.5,0
2.3686405337781484,0.5,,0.5,0
2.3769808173477895,0.5,,0.5,0
2.385321100917431,0.5,,0.5,0
