r,alpha,beta,gamma,nu_minus_closed,nu_minus_exact,abs_error
1.3444816053511706,7.39218077282542,6.54144093958658,6.658848462160631,0.29438982572659705,0.294389825726597,5.551115123125783e-17
1.354515050167224,7.540653532201337,6.664162583576338,6.795060324777001,0.2932301403194989,0.2932301403194992,2.7755575615628914e-16
1.3645484949832776,7.692162864285545,6.7893941371038595,6.93400851450949,0.2920935946866301,0.29209359468663015,5.551115123125783e-17
1.374581939799331,7.846769780912217,6.917186030110802,7.075748984900983,0.29097972579338205,0.2909797257933814,6.661338147750939e-16
1.3846153846153846,8.004536541292909,7.047589723571067,7.220338813927841,0.2898880798990628,0.289888079899063,2.220446049250313e-16
1.394648829431438,8.16552667708795,7.180657730213816,7.367836226984831,0.28881821237054006,0.28881821237054056,4.996003610813204e-16
1.4046822742474916,8.329805017990225,7.316443635670001,7.518300620332121,0.2877696874995365,0.28776968749953646,5.551115123125783e-17
1.414715719063545,8.497437717831684,7.455002120050956,7.671792585013772,0.2867420783235055,0.28674207832350557,5.551115123125783e-17
1.4247491638795986,8.668492281223056,7.596388979967729,7.828373931257357,0.2857349664500624,0.2857349664500625,1.1102230246251565e-16
1.434782608695652,8.84303759073753,7.740661151000014,7.98810771336455,0.2847479418848537,0.28474794188485353,1.6653345369377348e-16
1.4448160535117056,9.021143934649325,7.887876730623746,8.151058255102685,0.2837806028628479,0.2837806028628476,2.7755575615628914e-16
1.4548494983277593,9.202883035238319,8.038095001606585,8.317291175607522,0.2828325556829565,0.2828325556829567,1.6653345369377348e-16
1.4648829431438128,9.388328077672146,8.19137645588069,8.486873415807647,0.2819034145459425,0.2819034145459426,1.1102230246251565e-16
1.4749163879598663,9.577553739477409,8.347782818902445,8.659873265381165,0.2809928013955407,0.2809928013955393,1.4432899320127035e-15
1.4849498327759199,9.770636220611834,8.507377074508916,8.836360390255509,0.280100345762751,0.28010034576275117,1.6653345369377348e-16
1.4949832775919734,9.967653274149495,8.670223490281007,9.016405860661452,0.2792256846132168,0.27922568461321623,5.551115123125783e-16
1.5050167224080269,10.16868423759148,8.836387643423613,9.200082179752656,0.27836846219763733,0.27836846219763606,1.27675647831893e-15
1.5150501672240804,10.3738100648146,9.005936447173156,9.387463312802192,0.27752832990521614,0.2775283299052148,1.3322676295501878e-15
1.5250836120401339,10.58311335867099,9.178938177743095,9.578624716987916,0.27670494611997093,0.27670494611997043,4.996003610813204e-16
1.5351170568561874,10.796678404251745,9.355462501818323,9.773643371778553,0.2758979760799686,0.27589797607996835,2.220446049250313e-16
1.5451505016722409,11.014591202827987,9.535580504609499,9.972597809932875,0.27510709173933706,0.27510709173933706,0.0
1.5551839464882944,11.23693950648302,9.719364718478605,10.175568149124299,0.2743319716330933,0.27433197163309275,5.551115123125783e-16
1.565217391304348,11.463812853449538,9.90688915214725,10.382636124203787,0.2735723007446171,0.2735723007446165,5.551115123125783e-16
1.5752508361204014,11.695302604166088,10.09822932049952,10.593885120113928,0.272827770375846,0.272827770375846,0.0
1.585284280936455,11.931501978067333,10.293462274991334,10.80940020546753,0.2720980780200378,0.2720980780200365,1.3322676295501878e-15
1.5953177257525084,12.172506091122925,10.492666634678564,11.029268166804192,0.27138292723710394,0.27138292723710394,0.0
1.605351170568562,12.418411994140087,10.69592261787643,11.253577543538704,0.2706820275314418,0.2706820275314417,1.1102230246251565e-16
